Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1994-09-06,471.8599853515625,471.9200134277344,469.6400146484375,471.0,199670000
1994-09-07,470.989990234375,472.4100036621094,470.20001220703125,471.8599853515625,290330000
1994-09-08,473.1400146484375,473.3999938964844,470.8599853515625,470.9599914550781,295010000
1994-09-09,468.17999267578125,473.1300048828125,466.54998779296875,473.1300048828125,293360000
1994-09-12,466.2099914550781,468.4200134277344,466.1499938964844,468.17999267578125,244680000
1994-09-13,467.510009765625,468.760009765625,466.2699890136719,466.2699890136719,293370000
1994-09-14,468.79998779296875,468.8599853515625,466.82000732421875,467.54998779296875,297480000
1994-09-15,474.80999755859375,474.80999755859375,468.7900085449219,468.79998779296875,281920000
1994-09-16,471.19000244140625,474.80999755859375,470.05999755859375,474.80999755859375,410750000
1994-09-19,470.8500061035156,473.1499938964844,470.67999267578125,471.2099914550781,277110000
1994-09-20,463.3599853515625,470.8299865722656,463.3599853515625,470.8299865722656,326050000
1994-09-21,461.4599914550781,464.010009765625,458.4700012207031,463.4200134277344,351830000
1994-09-22,461.2699890136719,463.2200012207031,460.9599914550781,461.45001220703125,305210000
1994-09-23,459.6700134277344,462.1400146484375,459.010009765625,461.2699890136719,300060000
1994-09-26,460.82000732421875,460.8699951171875,459.30999755859375,459.6499938964844,272530000
1994-09-27,462.04998779296875,462.75,459.8299865722656,460.82000732421875,290330000
1994-09-28,464.8399963378906,465.54998779296875,462.1000061035156,462.1000061035156,330020000
1994-09-29,462.239990234375,464.8399963378906,461.510009765625,464.8399963378906,302280000
1994-09-30,462.7099914550781,465.29998779296875,461.9100036621094,462.2699890136719,291900000
1994-10-03,461.739990234375,463.30999755859375,460.3299865722656,462.69000244140625,269130000
1994-10-04,454.5899963378906,462.4599914550781,454.0299987792969,461.7699890136719,325620000
1994-10-05,453.5199890136719,454.5899963378906,449.2699890136719,454.5899963378906,359670000
1994-10-06,452.3599853515625,454.489990234375,452.1300048828125,453.5199890136719,272620000
1994-10-07,455.1000061035156,455.6700134277344,452.1300048828125,452.3699951171875,284230000
1994-10-10,459.0400085449219,459.2900085449219,455.1199951171875,455.1199951171875,213110000
1994-10-11,465.7900085449219,466.3399963378906,459.0400085449219,459.0400085449219,355540000
1994-10-12,465.4700012207031,466.70001220703125,464.7900085449219,465.7799987792969,269550000
1994-10-13,467.7900085449219,471.29998779296875,465.55999755859375,465.55999755859375,337900000
1994-10-14,469.1000061035156,469.5299987792969,466.1099853515625,467.7799987792969,251770000
1994-10-17,468.9599914550781,469.8800048828125,468.1600036621094,469.1099853515625,238490000
1994-10-18,467.6600036621094,469.19000244140625,466.5400085449219,469.0199890136719,259730000
1994-10-19,470.2799987792969,471.42999267578125,465.9599914550781,467.69000244140625,317030000
1994-10-20,466.8500061035156,470.3699951171875,465.3900146484375,470.3699951171875,331460000
1994-10-21,464.8900146484375,466.69000244140625,463.8299865722656,466.69000244140625,315310000
1994-10-24,460.8299865722656,466.3699951171875,460.79998779296875,464.8900146484375,282800000
1994-10-25,461.5299987792969,461.95001220703125,458.260009765625,460.8299865722656,326110000
