,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HG_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2016-02-09,189518,63452,90280,82362,51598,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0385000705718994,-0.16232758893614327,30764,-5.534951061572178,-26828,4.305292490157773,0.08333084502836667,0.057912471053521715,-0.00657893513806429,0.005150823576222097,-0.14602225416396095
2016-02-16,191131,60041,87379,84081,55020,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.049000024795532,-0.1520475485400066,29061,-0.8985953840796125,-27338,-0.26910372629512763,0.03695875658694042,0.04281644281644282,0.005150823576222097,0.027086398167865733,-0.14387317529115443
2016-02-23,173541,57954,80901,77038,51058,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.1045000553131104,-0.14970525697097517,25980,-1.611983404052718,-22947,2.2973771915597156,0.08591212840369723,0.0616830506643621,0.027086398167865733,0.01758134468981387,-0.14223728686321396
2016-03-01,160010,55749,80365,73508,47245,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.1414999961853027,-0.16413349165677146,26263,0.16307385574590444,-24616,-0.9617323860067649,0.06081008339337325,0.0201375317748358,0.01758134468981387,0.03595606017388797,-0.14162658334050873
2016-03-08,165888,63178,66056,70111,66455,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2184998989105225,-0.022038966049382717,3656,-14.128491969251922,-2878,13.58540091244297,0.16553900678060424,0.1682065091229862,0.03595606017388797,0.005634459433536243,-0.13826207488086065
2016-03-15,175443,63343,63890,72119,71009,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2309999465942383,-0.006326841196285973,1110,-1.5347704475308641,-547,1.4051649305555556,0.04584707394779498,0.018320718681474144,0.005634459433536243,0.023980250263639036,-0.13509034853186314
2016-03-22,178177,62514,61596,72166,73203,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2844998836517334,0.005820055338231085,-1037,-1.2237592836419806,918,0.8350290407710766,0.015415941500595037,0.025163161711385062,0.023980250263639036,-0.033267664292012666,-0.13293723832878307
2016-03-29,186775,67603,72029,76022,72557,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2084999084472656,-0.018551733369026904,3465,2.5267009771182587,-4426,-2.9992647760373115,0.030300378922997192,0.11116363011344105,-0.033267664292012666,-0.03328047137465562,-0.1318342160758475
2016-04-05,192906,67537,77622,76425,66055,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.134999990463257,-0.05375675199319876,10370,3.696961584794539,-10085,-3.029848748494177,0.04846294216732173,0.0389848373163221,-0.03328047137465562,0.004683836303478017,-0.13161118376786607
2016-04-12,201236,68479,90800,84007,59754,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.1449999809265137,-0.12052018525512334,24253,7.196769411008471,-22321,-6.342985702881196,0.09657000159987758,0.0886494767043992,0.004683836303478017,0.03636366869843011,-0.13220836619889348
2016-04-19,201891,66318,90834,86690,61270,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2230000495910645,-0.12590952543699324,25420,0.5799161183883599,-24516,-1.0907591087081834,0.028379291700459584,0.013967369171248219,0.03636366869843011,0.011471011497502515,-0.13274858208417972
2016-04-26,172378,65274,73350,74069,63893,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.248500108718872,-0.05903305526227245,10176,-7.5506089919808215,-8076,8.143007860677297,0.11049419405343501,0.13365650969529086,0.011471011497502515,-0.015121261581485412,-0.13135670285427364
2016-05-03,176458,65651,73111,75186,66922,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2144999504089355,-0.046832674064083236,8264,-1.109190267899616,-7460,0.35735418672916497,0.029174993666788638,0.004439255704011185,-0.015121261581485412,-0.05622038339474045,-0.13183170119286952
2016-05-10,184768,71365,94191,81612,59207,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0899999141693115,-0.12126017492206442,22405,8.013804984755579,-22826,-8.708021172176949,0.10041968768419034,0.16184251854357437,-0.05622038339474045,0.0009569825560868939,-0.13476978287939972
2016-05-17,203157,79184,109830,88280,58337,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0920000076293945,-0.14738847295441457,29943,4.079710772428126,-30646,-4.232334603394527,0.05141286481103828,0.12410720898981027,0.0009569825560868939,-0.010755276321661733,-0.13833129947554615
2016-05-24,210264,72160,113213,101182,59397,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.069499969482422,-0.19872636304835825,41785,5.8289894022849325,-41053,-5.1226391411568395,0.08694785744088579,0.05614086193782266,-0.010755276321661733,0.01352989454513942,-0.14219373414183495
2016-05-31,217128,71316,110143,102473,61117,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0975000858306885,-0.1904682951991452,41356,-0.20402922040862917,-38827,1.058669101700719,0.018405770523870654,0.021569610766068368,0.01352989454513942,-0.022169232740058553,-0.1444699750370068
2016-06-07,227927,72543,111837,101886,65651,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0510001182556152,-0.15897633891552998,36235,-2.3585166353487343,-39294,-0.21508050550827162,0.030566382351361193,0.015842282243193406,-0.022169232740058553,-0.0031691883701957524,-0.1455459636158651
2016-06-14,239071,71360,116171,108111,62804,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0445001125335693,-0.1895127388934668,45307,3.9802217376616196,-44811,-2.4205118305422353,0.05307901588508908,0.029419136036175353,-0.0031691883701957524,0.035216328843865385,-0.1469798504588694
2016-06-21,215529,63839,96765,95785,61300,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.116499900817871,-0.16000167030886794,34485,-4.526688724270196,-32926,4.971326509697955,0.08804150619091575,0.16766083036537072,0.035216328843865385,0.025277665005039918,-0.1472953282307601
2016-06-28,167927,53692,73506,83357,60873,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.1700000762939453,-0.13389151238335706,22484,-5.568160201179424,-19814,6.083636076815649,0.08912847535186855,0.26262991556471016,0.025277665005039918,0.005299484488509698,-0.14701188411169902
2016-07-05,164665,50675,70144,83339,61420,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.18149995803833,-0.13311268332675433,21919,-0.3364557218315101,-19469,0.20544641421570087,0.0039030388438715384,0.052797987071569866,0.005299484488509698,0.013522809166552463,-0.14598773729711007
2016-07-12,166225,54430,68660,81522,65891,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2109999656677246,-0.09403519326214468,15631,-3.818662132207816,-14230,3.1816111499104247,0.042655668088974516,0.04256235275002031,0.013522809166552463,0.022840306133342203,-0.14461834941287657
2016-07-19,178364,66010,63646,79046,79937,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2614998817443848,0.004995402659729542,-891,-9.939539780418109,2364,9.982854564596181,0.10392306095620286,0.1279848213734806,0.022840306133342203,-0.016139720990682727,-0.14148069573696181
2016-07-26,187184,69284,64466,80625,84320,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2249999046325684,0.019739935037182667,-3695,-1.572066111995694,4818,1.3758381736224798,0.036145381793931314,0.030609345794392524,-0.016139720990682727,-0.008314540233592349,-0.1373838567284452
2016-08-02,188805,68768,66086,82290,85727,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2065000534057617,0.018203967055957206,-3437,0.1378322933584067,2682,-1.1411231729207625,0.018283864132796087,0.015839352188292525,-0.008314540233592349,-0.025832838811539638,-0.1329335728506486
2016-08-09,188297,66712,71890,81248,78533,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.149499893188477,-0.014418710866344126,2715,3.258388284208575,-5178,-4.163025343608485,0.0515455529756354,0.05670913839627134,-0.025832838811539638,0.010467568860213605,-0.12920527093713285
2016-08-16,180360,61208,66282,80860,77040,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.171999931335449,-0.021179862497227767,3820,0.5868388768806725,-5074,0.055231894294651536,0.011912602913236226,0.08715977723743039,0.010467568860213605,-0.026243058748008252,-0.12599848035866967
2016-08-23,192196,70207,76873,78581,76444,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.115000009536743,-0.01111885783262919,2137,-0.9331337325349301,-6666,-0.8826790862719006,0.01854539590388647,0.13319282023388632,-0.026243058748008252,-0.0217494106890207,-0.12254490284992421
2016-08-30,187028,69279,91152,83132,62594,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.069000005722046,-0.10981243450178584,20538,9.574080626027596,-21873,-7.9122354263356165,0.12627122133318694,0.09478841371056716,-0.0217494106890207,0.007249929851469439,-0.12125352473233532
2016-09-06,203453,79928,110153,88295,59323,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0840001106262207,-0.14240143915302306,28972,4.50948521077058,-30225,-4.465641508223368,0.05713395385386606,0.15598613222783972,0.007249929851469439,0.005518177127605384,-0.12159300523554992
2016-09-13,203945,88681,113974,80099,55217,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0954999923706055,-0.12200348133075094,24882,-2.010292303382108,-25293,2.4241471003130943,0.09091312187767892,0.062046334904147446,0.005518177127605384,0.028632757336192638,-0.12263923294509659
2016-09-20,190574,82274,95425,74737,61223,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.1554999351501465,-0.07091208664350857,13514,-5.574051827698645,-13151,5.953565912378337,0.0836128273021477,0.14043973235640042,0.028632757336192638,0.002783596447314185,-0.12158053692165709
2016-09-27,179904,74769,76859,72312,70341,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.1614999771118164,-0.010955843116328709,1971,-6.056964748601593,-2090,5.804044623086045,0.08091662986407576,0.17194053868678608,0.002783596447314185,-0.0013879347733528613,-0.11884582937730098
2016-10-04,181809,77097,76198,70272,71224,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.1584999561309814,0.0052362644313537834,-952,-1.6247554251156173,899,1.6614416577730347,0.020657827783117543,0.019498352849081836,-0.0013879347733528613,0.009265685120681155,-0.1166721953048703
2016-10-11,185814,79132,74806,69184,72810,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.178499937057495,0.019514137793707687,-3626,-1.470774274100842,4326,1.8849451897320815,0.018831781624575685,0.022262209460951813,0.009265685120681155,-0.03695198062532978,-0.11504143372916745
2016-10-18,207729,87535,98677,77369,68856,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.0980000495910645,-0.040981278492651485,8513,6.532876962984489,-11142,-8.324453485743808,0.08301590015387246,0.17331858312031448,-0.03695198062532978,0.016444176757030027,-0.11479803634719897
2016-10-25,213569,90935,104689,79101,66345,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.132499933242798,-0.05972776947965295,12756,2.0425650727630713,-13754,-1.2574074876401464,0.0291723388749089,0.04811270600744285,0.016444176757030027,0.043141857214267,-0.11523452964043782
2016-11-01,203042,88669,77371,73188,79722,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.2244999408721924,0.03218053407669349,-6534,-9.032209730812992,11298,11.730166831328518,0.12615263880714145,0.1781739339918092,0.043141857214267,0.06945381512072202,-0.11252569071341395
2016-11-08,233922,118385,78749,69406,107339,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.378999948501587,0.16216089123725003,-37933,-15.46428817683041,39636,13.956718314437408,0.17765141871057172,0.15773027483843477,0.06945381512072202,0.051702458016431585,-0.10591558512720874
2016-11-15,238615,117916,72921,70609,113873,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.502000093460083,0.18131299373467719,-43264,-2.2789647831328392,44995,2.290934585032618,0.041939050964321725,0.03299674591405231,0.051702458016431585,0.0161870200242058,-0.09901112956138498
2016-11-22,236293,118089,71777,67936,115984,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.5425000190734863,0.20334076760631928,-48048,-2.0049032961046036,46312,0.5519351256207699,0.02601130926489778,0.006936470984799806,0.0161870200242058,0.020648971147648076,-0.09123844388766937
2016-11-29,230420,121067,67706,66855,119455,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.5950000286102295,0.22827879524346845,-52600,-1.9264218576089855,53361,2.9831607368817528,0.0244323976168751,0.0373411451849576,0.020648971147648076,0.029672409200880656,-0.08284926987838523
