,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-10-13,71682,51130,24758,13100,41881,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,991.5,0.4015094444909461,-28781,-8.18750917657737,26372,8.250243596417464,0.11156581364471363,0.0885910815939279,0.06270096463022501,0.02763492124464184,0.3737478895726235
2015-10-20,70469,50312,20493,12843,45061,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1018.9000244140624,0.45719394343612085,-32218,-4.794788091850116,29819,4.8087385954632955,0.0593568665377176,0.07178871548619448,0.02763492124464184,-0.029934242093614283,0.3757347003788973
2015-10-27,71052,51736,18220,11876,47934,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,988.4000244140624,0.5074874739627315,-36058,-5.449204614795159,33516,5.246278505442109,0.06420331048319679,0.05284750414546286,-0.029934242093614283,-0.0275192346571983,0.37879871836921897
2015-11-03,70053,51302,16039,11645,48615,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,961.2000122070312,0.5277432800879335,-36970,-1.2835669650396893,35263,2.4587625964082647,0.015134417524062397,0.038832212173861395,-0.0275192346571983,-0.06419060697404755,0.3821838220446443
2015-11-10,71115,49986,20108,13063,45673,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,899.5,0.4585530478801941,-32610,6.223859078126561,29878,-7.687036957732003,0.07423045491691638,0.07682540588352783,-0.06419060697404755,-0.04991664748645086,0.38388091595210094
2015-11-17,74144,51143,28387,13327,39550,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,854.5999755859375,0.3536766292619767,-26223,8.98122758911622,22756,-10.014764817549041,0.12078975736142368,0.11864705142713441,-0.04991664748645086,-0.016498918779245364,0.38322430102405486
2015-11-24,75570,50943,32517,14602,36961,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,840.5,0.2958713775307662,-22359,5.211480362537765,18426,-5.8399870522227015,0.07493745515195004,0.051881140666187396,-0.016498918779245364,-0.006067787728658569,0.38136572818377207
2015-12-01,76282,51856,33111,13807,36857,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,835.4000244140625,0.30216827036522376,-23050,-0.9143840148206961,18745,0.42212518195050946,0.017744354966050844,0.017736297621429496,-0.006067787728658569,0.01316734459963076,0.3797157811458856
2015-12-08,76192,52171,30700,12562,38273,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,846.4000244140625,0.33745012599748003,-25711,-3.488372093023256,21471,3.573582234340998,0.05234582472705813,0.032894498678669254,0.01316734459963076,0.010869507214681162,0.37885321675510186
2015-12-15,76027,50832,29612,13420,38231,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,855.5999755859375,0.3263445881068568,-24811,1.1812263754724905,21220,-0.32943091138177233,0.017424638438752395,0.030170056188155735,0.010869507214681162,0.020102866640747896,0.37780304418213695
2015-12-22,69653,47679,24753,11391,38167,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,872.7999877929688,0.38441991012590987,-26776,-2.5846080997540346,22926,2.243939653018007,0.0422333427499092,0.11061409321846698,0.020102866640747896,0.020394120121357107,0.3779327866516227
2015-12-29,66584,46716,23373,10829,38184,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,890.5999755859375,0.4108344346990268,-27355,-0.831263549308716,23343,0.5986820381031686,0.011813192418337991,0.03342892607969867,0.020394120121357107,-0.0022456771331980097,0.3785655106525343
2016-01-05,65506,46112,22255,10413,38495,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,888.5999755859375,0.4286935547888743,-28082,-1.0918538988345547,23857,0.7719572269614321,0.01486464382105177,0.02518759050419062,-0.0022456771331980097,-0.05750616361680916,0.37776252349054396
