,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,OJ_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2016-03-01,11061,2564,1430,7101,8597,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,123.3000030517578,0.13524997739806527,-1496,-2.6878015161957274,1134,1.662646450723639,0.03732959612689515,0.04832248372558838,-0.026066314866803553,-0.04014602153382618,-0.03500550152008237,-0.02486244109198779
2016-03-08,12416,2786,2331,7877,8560,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,118.3499984741211,0.05500966494845361,-683,7.350149172769189,455,-6.138685471476359,0.04946158058039788,0.21946452999804572,-0.04014602153382618,0.08660758564889925,-0.027476454806258706,-0.026989250071378614
2016-03-15,12196,2897,2427,7595,8278,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,128.60000610351562,0.056001967858314204,-683,0.0,470,0.1208118556701031,0.03553203553203553,0.03888054094665665,0.08660758564889925,0.0419906192861117,-0.019356206300496243,-0.012428520113780147
2016-03-22,12814,3214,2133,7642,8930,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,134.0,0.10051506165131888,-1288,-4.960642833715973,1081,5.009839291571007,0.04217958001448226,0.11426968393491678,0.0419906192861117,0.02014923095703125,-0.011406556360572242,0.015476092242095037
2016-03-29,13232,3543,1629,7619,10060,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,136.6999969482422,0.1844770253929867,-2441,-8.99797096925238,1914,6.500702356797253,0.06521862096272414,0.16105955143078113,0.02014923095703125,0.0479151660423065,-0.0036738343131533274,0.026788320999671038
2016-04-05,14285,5442,734,6525,12262,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,143.25,0.4016100805040252,-5737,-24.9093107617896,4708,21.115477629987907,0.17544046415074255,0.4523963730569948,0.0479151660423065,-0.05095988168766363,0.00846264994510296,0.04799522970567725
2016-04-12,13564,5346,719,5776,11611,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,135.9499969482422,0.4301828369212622,-5835,-0.6860343017150857,4627,-0.5670283514175709,0.08051992868234888,0.018301731244847484,-0.05095988168766363,-0.01250457511146097,0.02162272379759799,0.014665714402039662
2016-04-19,13145,4825,578,6102,11349,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,134.25,0.399163179916318,-5247,4.335004423473902,4247,-2.801533470952521,0.03369434416365824,0.12252452341291875,-0.01250457511146097,-0.08193668528864062,0.03444371759866729,0.0011493243237474325
2016-04-26,12904,4041,829,6776,10845,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,123.25,0.3153285802851829,-4069,8.96158235070369,3212,-7.873716241917078,0.06685205152942512,0.21252566735112938,-0.08193668528864062,0.08316430020283971,0.045738985850553596,-0.024673394136695906
2016-05-03,12056,3549,770,6636,10297,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,133.5,0.30366622428666223,-3661,3.1618102913825172,2779,-3.355548667079975,0.04063072107718656,0.1275758277379023,0.08316430020283971,0.08951308575462313,0.05710237867999227,-0.015681525394415554
2016-05-10,12824,3742,539,6904,11160,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,145.4499969482422,0.3318777292576419,-4256,-4.93530192435302,3203,3.5169210351692106,0.06261071744906997,0.09904227984115861,0.08951308575462313,0.0061877564397179174,0.0696970707325381,0.019370211650695388
2016-05-17,13167,4342,647,6259,11332,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,146.35000610351562,0.3852813852813853,-5073,-6.370867124142234,3695,3.836556456643793,0.046444204422716164,0.14191220685508119,0.0061877564397179174,-0.00580803599635249,0.08381132340088977,0.02394317502938888
2016-05-24,14296,5258,693,6261,12092,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,145.5,0.40787632904308896,-5831,-5.756816283132073,4565,6.60742766005924,0.041519097695199694,0.16165350361283817,-0.00580803599635249,0.048453629221703265,0.09834400582017361,0.04235452513129085
2016-05-31,15081,5628,1027,6444,12568,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,152.5500030517578,0.40607386778065113,-6124,-2.0495243424734193,4601,0.2518186905428092,0.034662318535661686,0.10578512396694215,0.048453629221703265,0.09800063355731226,0.1129599644041126,0.034001935196845925
2016-06-07,17560,7397,1319,6576,14580,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,167.5,0.4558086560364465,-8004,-12.466016842384457,6078,9.793780253298854,0.10134240877292494,0.2364616796695732,0.09800063355731226,-0.02238805970149249,0.12655652219103028,0.03605078636070733
2016-06-14,17891,7815,1395,6501,14794,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,163.75,0.46352914873400036,-8293,-1.6457858769931661,6420,1.947608200455581,0.013571260859356657,0.053637350705754615,-0.02238805970149249,0.008244312082538174,0.13916296081495222,0.02913593786670719
2016-06-21,16925,7625,1166,6019,14177,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,165.10000610351562,0.4820088626292467,-8158,0.7545693365379241,6459,0.21798669722206698,0.05441671618142206,0.04766238198157206,0.008244312082538174,0.00666257301066886,0.152377708354827,0.032542336191037906
2016-06-28,16900,8344,1341,5743,14179,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,166.1999969482422,0.4991715976331361,-8436,-1.6425406203840471,7003,3.2141802067946825,0.013954422246762374,0.09230769230769231,0.00666257301066886,0.12304450856645155,0.16624369247278264,0.022377607948105335
2016-07-05,17724,9053,1863,5534,14544,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,186.6499938964844,0.5083502595350936,-9010,-3.396449704142012,7190,1.106508875739645,0.028588504831158483,0.11277024551117626,0.12304450856645155,-0.0527725216545647,0.18007497201035946,0.02848136132071684
2016-07-12,18029,9860,2132,5265,14677,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,176.8000030517578,0.5220478118586721,-9412,-2.2681110358835475,7728,3.035432182351614,0.020158459532644668,0.08972648432288192,-0.0527725216545647,0.03421947368398315,0.1941512427133462,0.02107115374997712
2016-07-19,17949,10163,2274,4753,14366,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,182.8500061035156,0.5355730124240905,-9613,-1.1148704864385157,7889,0.8930057130179155,0.04304618442387154,0.03578033287770362,0.03421947368398315,0.05687718648801532,0.20901677614166647,0.027409414740607624
2016-07-26,19145,10766,2198,5095,15462,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,193.25,0.5414990859232176,-10367,-4.2007911304250936,8568,3.7829405537912972,0.06995184122196818,0.052375809935205186,0.05687718648801532,-0.1159119994643435,0.22268383352652016,0.03954966074694584
