,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-12-01,437861,122921,59628,184089,253410,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,29.780000686645508,0.15831736555664927,-69321,-4.821905902217434,63293,4.657584475020201,0.04869496844564216,0.11272589825197618,0.0519251588991223,0.048690356687636216,0.12225830503362285,0.01453804151052393
2015-12-08,419901,125774,35424,170725,272430,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.229999542236328,0.24221185469908382,-101705,-7.395954423892513,90350,6.179358289502833,0.07307601177917433,0.16784947704065808,0.048690356687636216,-0.016970822512504036,0.1247063366594486,0.0340458948778874
2015-12-15,422246,126085,35076,162406,265751,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.700000762939453,0.24475069035585892,-103345,-0.39056825299296744,91009,0.15694175531851554,0.03502920657609242,0.0040890786232401135,-0.016970822512504036,-0.00846906261955871,0.12710722373337682,0.02815575839786149
2015-12-22,404703,123621,44203,160635,251924,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.440000534057617,0.2255703565330625,-91289,2.855207627780962,79418,-2.7450822506311487,0.037807925654270054,0.06906640289827438,-0.00846906261955871,0.0026281183410803433,0.12903787339611575,0.018619484142263693
2015-12-29,386848,125311,39984,151180,247938,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.520000457763672,0.2501189097526677,-96758,-1.3513613687074224,85327,1.4600830732660741,0.033676757249735664,0.03574820774978069,0.0026281183410803433,-0.029161247825953862,0.13136635486451095,0.006448809134461383
2016-01-05,385135,120238,47770,155269,233818,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,29.6299991607666,0.20395186103574073,-78549,4.707016709405244,72468,-3.324044585987261,0.04679930195560376,0.07653802199895243,-0.029161247825953862,-0.02092470298499749,0.13166833899366148,-0.013078404368605126
2016-01-12,404251,112893,59972,163523,224551,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,29.010000228881836,0.15096561294839098,-61028,4.549313876952237,52921,-5.075363184337959,0.04514860567829847,0.11307667833280305,-0.02092470298499749,0.035160305057432506,0.1301008324149787,-0.014080388823453865
2016-01-19,411430,116320,56192,163333,231189,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.030000686645508,0.16492720511387113,-67856,-1.6890496251091525,60128,1.782803258371655,0.01730701963388607,0.04177680393248006,0.035160305057432506,0.023642992615328096,0.12861775724548508,-0.0030791174735601127
2016-01-26,411380,113038,41800,158547,241119,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.739999771118164,0.20071952938888618,-82572,-3.576793136134944,71238,2.7003378460491456,0.03682074532234416,0.11414510649840479,0.023642992615328096,0.0016265824587338162,0.1297454127474191,0.0021769654058224697
2016-02-02,416968,119958,46274,162886,248950,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.790000915527344,0.20640432838970857,-86064,-0.8488502114833001,73684,0.5945840828431135,0.02955059781077905,0.06854275951681986,0.0016265824587338162,-0.0029230318256503462,0.1328865801615366,0.009827842447437096
2016-02-09,413790,120119,50742,165470,246033,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.700000762939453,0.1946953768819933,-80563,1.3192858924425854,69377,-1.0329329828667906,0.013368067790514285,0.027092197751388554,-0.0029230318256503462,0.029641688104146358,0.13553812088806969,0.014274347099427164
2016-02-16,417588,125992,45917,161190,257093,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.61000061035156,0.22965937718516816,-95903,-3.707194470625196,80075,2.585369390270427,0.03667373524623281,0.0622305987470115,0.029641688104146358,-0.02720659897962574,0.13787014925008093,0.012913320857727882
2016-02-23,408631,125101,51532,160391,243950,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.75,0.20448522016195542,-83559,2.9560236405260687,73569,-1.5579949615410404,0.03448079714894112,0.03683343429596961,-0.02720659897962574,-0.013983749761814046,0.1396282821412322,0.00028461943144767284
2016-03-01,381682,118689,57515,151996,220132,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.31999969482422,0.17851509895672313,-68136,3.774309829650712,61174,-3.033298991021239,0.08656430045575716,0.0703446005766044,-0.013983749761814046,0.01978893098643897,0.13919525736342017,-0.0036244836279708224
2016-03-08,383217,114316,58652,157857,223630,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.920000076293945,0.17163382626553625,-65773,0.619101765343925,55664,-1.4436101257067402,0.024532946076799473,0.03185560334859627,0.01978893098643897,0.05077624832790861,0.1401158685458113,0.002057948557784562
2016-03-15,418463,147804,50879,154374,268066,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.4900016784668,0.2716894922609645,-113692,-12.504403510282685,96925,10.76700668289768,0.11343386042988353,0.20767252356769325,0.05077624832790861,0.04432128508209221,0.14391402660841893,0.007316873914872922
2016-03-22,442859,172274,54002,149294,285250,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.93000030517578,0.3069961319517047,-135956,-5.320422594112263,118272,5.101287330062633,0.051235317942486834,0.12194399759585639,0.04432128508209221,0.0035366616800902584,0.14826090044238915,0.02491276265669548
2016-03-29,445293,178703,51381,149609,293730,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,34.04999923706055,0.3236543130028992,-144121,-1.843701945766034,127322,2.0435398174136687,0.01983809229506089,0.03933346082300377,0.0035366616800902584,-0.0017620428763019946,0.15341707171523267,0.02917599259008695
