,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZM_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2016-03-01,393496,70941,120446,210850,165149,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,258.1000061035156,-0.11614095187752861,45701,1.5560732531331711,-49505,-0.7080749544463724,0.07706137516323182,0.015758646094039826,-0.019376921987009577,0.04920566210432242,0.11594758625141996,-0.015326064002826729
2016-03-08,369907,71444,98528,190027,173566,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,270.79998779296875,-0.04450037441843491,16461,-7.430825218045419,-27084,5.697897818529286,0.08041959003611181,0.13190996164074084,0.04920566210432242,-0.009601091961367492,0.11138902375286046,0.007533523550434805
2016-03-15,373582,77422,102207,193546,176035,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,268.20001220703125,-0.046873243357549346,17511,0.2838551311545875,-24785,0.6215075681184731,0.016202131603085656,0.05376080699664308,-0.009601091961367492,0.010439924181686377,0.10788583520730245,0.0035400874902943346
2016-03-22,377306,77875,97941,187501,178969,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,271.0,-0.022612945460713584,8532,-2.403488390768292,-20066,1.2631764913727106,0.024501323437116272,0.026840560586067253,0.010439924181686377,0.008118126225207467,0.10475244687903727,0.0076376518242650595
2016-03-29,372474,76101,85246,181705,186458,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,273.20001220703125,0.01276062221792662,-4753,-3.5210147731549455,-9145,2.894467620446004,0.03608456037135725,0.08967628775248378,0.008118126225207467,-0.01647144875158313,0.10188322266063879,0.014435953544329482
2016-04-05,379901,75994,93809,195517,186599,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,268.70001220703125,-0.023474536787215616,8918,3.670323297733533,-17815,-2.3276792474105577,0.036515089658637694,0.0510591685659264,-0.01647144875158313,0.06103458560265462,0.09914565583750762,-0.0018803894010510681
2016-04-12,374417,78982,80493,178635,191896,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,285.1000061035156,0.03541772943002054,-13261,-5.838099926033361,-1511,4.29164440209423,0.05985733987169765,0.10223546010346449,0.06103458560265462,0.0701508227703731,0.09881039311060033,0.01565708247951467
2016-04-19,372598,86199,60499,175202,218744,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,305.1000061035156,0.11686053065233845,-43542,-8.087506710432486,25700,7.267565308199147,0.07686586486472766,0.18548991806295928,0.0701508227703731,0.059652511718659706,0.0996201816071478,0.03024596556808023
2016-04-26,357327,94022,44943,163570,233357,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,323.29998779296875,0.19530290182381965,-69787,-7.043784454022835,49079,6.274590845898261,0.06612047051472941,0.16823660633972584,0.059652511718659706,0.05010829823292551,0.10114814892569511,0.04266824227714303
2016-05-03,349070,98453,39539,160411,239850,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,339.5,0.22757326610708453,-79439,-2.701167278151385,58914,2.752380872422179,0.024114265441799225,0.0712722476665314,0.05010829823292551,0.06156110131512338,0.1034159023215387,0.0584920479256395
