,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-06-02,1651499,494450,154932,541163,881118,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",61.2599983215332,0.20584632506589468,-339955,0.387946707036745,339518,-0.5248399247520902,0.00492659326813759,0.013047790052696255,0.05566085835226109,-0.01828271241546997,,0.004354104310497579
2015-06-09,1641774,483798,157943,536555,861689,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",60.13999938964844,0.1980382196331529,-325134,0.8974271252964732,325855,-0.8273090083614947,0.017190847949284962,0.02129052063059708,-0.01828271241546997,-0.0028267071943897104,,-0.0016571223219785144
2015-06-16,1652013,484932,157799,550591,881477,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",59.970001220703125,0.20029261270946416,-330886,-0.3503527282074147,327133,0.07784262632981154,0.023618990159685153,0.0019883901663370835,-0.0028267071943897104,0.017341955638831008,,0.01192829415918286
2015-06-23,1650025,480001,152568,570430,905389,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",61.0099983215332,0.2030023787518371,-334959,-0.24654769665856138,327433,0.018159663392479358,0.029645234273308584,0.016064650654711184,0.017341955638831008,-0.02524171682015186,,0.01288991553773184
2015-06-30,1670091,483021,154842,583581,915252,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",59.470001220703125,0.19859456760140615,-331671,0.19926970803472674,328179,0.045211436190360756,0.01535461255523464,0.008299587842530449,-0.02524171682015186,-0.12006052199579931,0.17538820450701995,-0.007278720932950309
2015-07-07,1691891,485862,189702,584819,875695,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",52.33000183105469,0.1719236050076512,-290876,2.442681267068681,296160,-1.9172009189918393,0.02793194724596957,0.05580670373199283,-0.12006052199579931,0.01356772519834526,0.17525988600704331,-0.033243231443119144
2015-07-14,1733695,468034,203647,629452,886354,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",53.040000915527344,0.14818177361069854,-256902,2.008048981878856,264387,-1.8779578589873696,0.036476963410885035,0.047303705181477515,0.01356772519834526,-0.050527908350605166,0.17429281056431672,-0.029015033789944314
2015-07-21,1668737,464330,210647,590689,847827,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",50.36000061035156,0.1540913876782261,-257138,-0.0136125443056593,253683,-0.6174096366431234,0.05372898181181162,0.01585831813528461,-0.050527908350605166,-0.047259750581218674,0.17359620977514117,-0.046636371014639494
2015-07-28,1694436,475975,232556,594197,837805,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",47.97999954223633,0.1437693722276911,-243608,0.8107928331426703,243419,-0.6150759526516162,0.009448310826381527,0.047357137514096065,-0.047259750581218674,-0.04668607513840606,0.17260198185689285,-0.05242036501132691
2015-08-04,1736523,478684,231591,611685,853973,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",45.7400016784668,0.1395247860235655,-242288,0.07790202757731776,247093,0.21682731009020112,0.022963065053375344,0.005172644398296435,-0.04668607513840606,-0.05815478246176731,0.17153497553968874,-0.033273992306024305
2015-08-11,1676233,478863,253020,562096,794521,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",43.08000183105469,0.1386591243580099,-232425,0.5679740492927534,225843,-1.2237096773264737,0.08037714402812289,0.02952384465823089,-0.05815478246176731,-0.010677875571451945,0.17050760519026129,-0.05198524860950613
2015-08-18,1688731,473198,262634,594104,807933,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",42.619998931884766,0.12662111372385537,-213829,1.1093923100189533,210564,-0.9115081256603349,0.032395721368266316,0.02076425053544831,-0.010677875571451945,-0.07766301364492723,0.1691777115094611,-0.041545819895952095
2015-08-25,1677151,474160,258597,570710,787559,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",39.310001373291016,0.12929605026619548,-216849,-0.17883250796011915,215563,0.2960210951300118,0.03222336665270281,0.006822179794938841,-0.07766301364492723,0.15517675555884636,0.16800472147289447,-0.04950062502633421
2015-09-01,1688806,487177,266835,575960,795030,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",45.40999984741211,0.12971886646541994,-219070,-0.13242695499689652,220342,0.28494750919863504,0.00927869641645818,0.028189206537826986,0.15517675555884636,0.01167141116665471,0.16691083990125236,0.00216791933397685
2015-09-08,1704251,490149,258719,589357,815763,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",45.939998626708984,0.132847802348363,-226406,-0.4343897404438402,231430,0.6565585389914532,0.024289740378046005,0.01480634771414989,0.01167141116665471,-0.029386123519303253,0.1659646444136721,0.01943669699624595
2015-09-15,1702949,485819,246433,588064,827022,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",44.59000015258789,0.14032011528237193,-238958,-0.7365112298599209,239386,0.4668326437831047,0.008870132274646204,0.022691641675270262,-0.029386123519303253,0.027808963315171242,0.16527154903174504,0.01483911116051847
2015-09-22,1606217,489204,229775,548373,798144,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",45.83000183105469,0.1555026500155334,-249771,-0.6349573592632546,259429,1.176958323472987,0.050923233795043064,0.027877031178935686,0.027808963315171242,-0.013091910644694615,0.16501447274184475,0.04048697997427685
2015-09-29,1617902,481485,229757,560375,810124,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",45.22999954223633,0.15436596283334839,-249749,0.001369677945134437,251728,-0.47944953888546815,0.017498735861901395,0.010878153989781257,-0.013091910644694615,0.07296040836743689,0.16474143402624228,-0.0007496958722795414
2015-10-06,1675676,491100,232839,588749,841962,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",48.529998779296875,0.1511109546236862,-253213,-0.21410443895860196,258261,0.4037945437980793,0.04208536874323326,0.017538770531771324,0.07296040836743689,-0.03853284522814615,0.16440067204117836,0.014467671082416117
2015-10-13,1645951,487740,222748,592561,867428,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",46.65999984741211,0.16699585832142025,-274867,-1.292254588595886,264992,0.40168863193123255,0.020053575746118636,0.018932057965792524,-0.03853284522814615,-0.02378912588901616,0.1644639692675257,0.012211291718537808
2015-10-20,1613562,485090,233939,570449,833815,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",45.54999923706055,0.16322025431932582,-263366,0.6987449808651655,251151,-0.8409120320106735,0.0396827092341611,0.019249571296846162,-0.02378912588901616,-0.0515916248843552,0.1644343570068543,-0.0006135565359266043
2015-10-27,1676033,499628,263053,589108,830691,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",43.20000076293945,0.14413976335788137,-241583,1.3499946082022258,236575,-0.9033430385693267,0.015342312538605817,0.05723493832939328,-0.0515916248843552,0.10879631203551976,0.16396238971269214,-0.010291068775346425
2015-11-03,1676897,493384,247193,588480,832852,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",47.900001525878906,0.14572868816629764,-244372,-0.1664048380908968,246191,0.5737357200007398,0.0019622438670205133,0.029846997678836907,0.10879631203551976,-0.07703553912023686,0.16354798740481954,-0.0012801400212081775
2015-11-10,1671590,498945,260623,593266,839338,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",44.209999084472656,0.14720834654430812,-246072,-0.10137772325909106,238322,-0.46925959077987495,0.007868189674187703,0.025002369768078698,-0.07703553912023686,-0.08007240418085992,0.16318488427458597,-0.010964889753207743
2015-11-17,1662829,494099,265544,570121,806942,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",40.66999816894531,0.14242053752971592,-236821,0.5534251820123356,228555,-0.5842939955371831,0.0403329404682284,0.012857355362979715,-0.08007240418085992,0.05409394792201705,0.16273348543230617,-0.025293002176554474
