,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,LB_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-08-25,6552,1894,3793,2442,555,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,245.1000061035156,-0.288003663003663,1887,2.858968215939946,-1899,-2.140233189586328,0.05972639305972639,0.08616142078424477,-0.02194732588205972,-0.04120769421462178,-0.2145977420071694
2015-09-01,6547,1936,3752,2368,428,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,235.0,-0.2963189246983351,1940,0.808913308913309,-1816,1.2667887667887667,0.07188841201716738,0.014592123769338959,-0.04120769421462178,-0.014042566177692839,-0.2169326329412027
2015-09-08,6534,2042,3861,2458,452,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,231.6999969482422,-0.30700948882767065,2006,1.0080953108293875,-1819,-0.04582251412860852,0.03917525773195876,0.036422158224631546,-0.014042566177692839,0.09063444228137407,-0.21943476782693794
2015-09-15,5589,1962,3292,1812,336,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,252.6999969482422,-0.2640901771336554,1476,-8.111417202326294,-1330,7.483930211202939,0.3547486033519553,0.12352493338408832,0.09063444228137407,-0.11278195624924103,-0.22064167078117355
2015-09-22,5618,1853,3214,1764,285,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,224.1999969482422,-0.26326094695621216,1479,0.05367686527106817,-1361,-0.5546609411343711,0.048316251830161056,0.03690546674560884,-0.11278195624924103,-0.016949166384846226,-0.22176323068051668
2015-09-29,6583,1530,3777,2576,411,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,220.3999938964844,-0.32887741151450706,2165,12.210751156995373,-2247,-15.770736917052334,0.31402745229327084,0.16694931222913134,-0.016949166384846226,0.05353903529280446,-0.22450974813779845
2015-10-06,6968,1572,3992,2493,433,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,232.1999969482422,-0.2956371986222732,2060,-1.5950174692389487,-2420,-2.6279811636032204,0.03588516746411483,0.04618979151689432,0.05353903529280446,0.11369513136194409,-0.22628793439991032
2015-10-13,5743,1439,3203,2082,705,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,258.6000061035156,-0.23977015497126938,1377,-9.80195177956372,-1764,9.414466130884042,0.2450663796196627,0.1986212839293408,0.11369513136194409,0.005413742704723612,-0.22661676904799227
2015-10-20,4993,1528,2428,1406,812,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,260.0,-0.11896655317444423,594,-13.63398920424865,-900,15.044401880550234,0.3530207394048693,0.21840242669362994,0.005413742704723612,-0.019230769230769273,-0.22405366867005064
2015-10-27,4483,1643,2062,1024,889,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,255.0,-0.030113763105063574,135,-9.192870018025236,-419,9.633486881634289,0.23993727130162049,0.12982456140350876,-0.019230769230769273,-0.03450981588924629,-0.21954343830807418
2015-11-03,4036,1472,1846,972,753,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,246.1999969482422,-0.054261645193260655,219,1.8737452598706226,-374,1.0037921035021191,0.10898550724637682,0.1166365280289331,-0.03450981588924629,0.0316815724957038,-0.21578703391910115
2015-11-10,3822,1392,1905,883,342,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,254.0,-0.14154892726321297,541,7.978196233894945,-513,-3.44400396432111,0.40816326530612246,0.0421595389748256,0.0316815724957038,-0.05826772855022766,-0.21413729821563698
2015-11-17,3976,1350,1863,1155,434,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,239.1999969482422,-0.1813380281690141,721,4.709576138147567,-513,0.0,0.2290748898678414,0.026143790849673203,-0.05826772855022766,0.03929769763879798,-0.2134242706059278
2015-11-24,3982,1344,1916,1145,551,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,248.6000061035156,-0.14917127071823205,594,-3.194164989939638,-572,-1.4839034205231387,0.07488207547169812,0.018098159509202454,0.03929769763879798,-0.02775546655618455,-0.21205718550193425
2015-12-01,4222,1317,1959,1118,541,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,241.6999969482422,-0.13666508763619137,577,-0.42692114515318935,-642,-1.757910597689603,0.02230259192284509,0.021367521367521368,-0.02775546655618455,0.10633015007338043,-0.21048651679639796
