,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HE_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-09-01,190466,68680,68385,74473,65736,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,67.9749984741211,-0.04587170413617128,8737,-0.2911430391542637,295,0.09634570735123012,0.003944112004222268,0.0058585342720607015,0.007037014431423572,0.011769077892107349,-0.026721525108310957,-0.04284415163051195
2015-09-08,196278,70824,67845,74001,69812,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,68.7750015258789,-0.021342177931301522,4189,-2.3878277487845603,2979,1.4091753908834124,0.031624401132025616,0.019355443538209692,0.011769077892107349,0.008724077947062314,-0.026572098797838475,-0.024947540835154786
2015-09-15,194998,70806,64684,70315,68613,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,69.375,-0.00872829464917589,1702,-1.2670803656038885,6122,1.6013001966598397,0.035162098353103764,0.023462986198243413,0.008724077947062314,0.023423423423423406,-0.026089833820847595,0.01200863710683693
2015-09-22,195340,70103,59016,71542,72308,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,71.0,0.003921367871403706,-766,-1.265654006707761,11087,2.546179960820111,0.03421619742787626,0.04934207978686328,0.023423423423423406,0.03169014084507049,-0.025300065355262035,0.012657947516414612
2015-09-29,200403,73441,56816,72840,78615,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,73.25,0.028816933878235355,-5775,-2.5642469540288726,16625,2.835056823999181,0.0502129345350104,0.0425159492388125,0.03169014084507049,0.004778136165475733,-0.023912449990300563,0.018725262860140948
2015-10-06,203106,76387,56293,73237,83065,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,73.5999984741211,0.04838852618829577,-9828,-2.0224248139997907,20094,1.7310120107982416,0.03101047971235173,0.026145613506180283,0.004778136165475733,0.016983696004280846,-0.022104925585835655,0.017008476894385696
2015-10-13,206367,80273,56188,71845,87433,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,74.8499984741211,0.07553533268400471,-15588,-2.8359575788012172,24085,1.9649838015617462,0.03616318637853313,0.029246451367057256,0.016983696004280846,-0.09352037598798624,-0.019723455871937107,0.01903649968904562
2015-10-20,198987,74091,48073,71713,89517,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,67.8499984741211,0.0894731816651339,-17804,-1.0738150964059177,26018,0.936680767758411,0.013744340383303355,0.11703120395533873,-0.09352037598798624,-0.09727337689828275,-0.017123535930578276,-0.01006760948076015
2015-10-27,195171,68429,46506,73803,86780,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,61.25,0.06649041097294167,-12977,2.425786609175474,21923,-2.0579233819294727,0.03005922171089094,0.06289641971549137,-0.09727337689828275,-0.049387780014349514,-0.015179025537473158,-0.043176827651312956
2015-11-03,203242,70266,58679,76521,81155,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,58.224998474121094,0.022800405428011927,-4634,4.274712944033694,11587,-5.295868750992719,0.05291230117456049,0.10865097522199388,-0.049387780014349514,-0.08029195980380166,-0.014315856651893954,-0.05741669813561403
2015-11-10,205800,74941,72067,73301,70041,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,53.54999923706055,-0.01584062196307094,3260,3.8840397162003915,2874,-4.287007606695466,0.09999860473552762,0.12287086417065737,-0.08029195980380166,0.011671335367031244,-0.014349740325475663,-0.08351028371306107
2015-11-17,203921,74045,75958,75873,67161,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,54.17499923706055,-0.042722426822151716,8712,2.6491739552964044,-1913,-2.326044703595724,0.038116811387502274,0.031912695079431744,0.011671335367031244,0.05629901762830247,-0.0149665378580121,-0.055322923857635965
2015-11-24,203800,73170,77836,75930,64770,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,57.224998474121094,-0.054759568204121686,11160,1.200464885911701,-4666,-1.3500326106678566,0.017398720682302773,0.018231063666344385,0.05629901762830247,0.04761908888561517,-0.01581319807814209,-0.015547586475709982
2015-12-01,195714,69367,75131,74178,61490,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,59.95000076293945,-0.06482929172159375,12688,0.7497546614327772,-5764,-0.5387634936211972,0.03709054456467258,0.04503868565654888,0.04761908888561517,-0.07714762203738179,-0.016834366695714,0.00878566330628176
2015-12-08,179003,62342,69885,70672,55444,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,55.32500076293945,-0.08507119992402362,15228,1.2978121135943264,-7543,-0.9089794291670499,0.07573979510926448,0.09280252898424679,-0.07714762203738179,0.06507001219117248,-0.01822695512894481,0.0095645682988278
2015-12-15,177113,62663,70928,68540,53998,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,58.92499923706055,-0.08210577427969715,14542,-0.3832338005508288,-8265,-0.4033451953319218,0.029199105583574074,0.010210268655822623,0.06507001219117248,-0.035214268812996274,-0.019504531511959855,0.02270050690080971
2015-12-22,165573,56693,67040,66124,48691,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,56.849998474121094,-0.10528890579985867,17433,1.6322912490895642,-10347,-1.1755207127652967,0.06726473021817707,0.07967155083930721,-0.035214268812996274,0.04045739865419362,-0.02118657806662454,8.179921095560437e-05
2015-12-29,166456,55445,64251,69195,52628,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,59.150001525878906,-0.09952780314317297,16567,-0.523032136882221,-8806,0.9307073013112042,0.05752608292358586,0.033727108675310785,0.04045739865419362,0.0329669805230528,-0.022693140087327392,-0.0017100813572460045
2016-01-05,164890,55598,60886,65919,52194,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,61.099998474121094,-0.08323730972163261,13725,-1.7073581006392078,-5288,2.1134714278848463,0.03141059832533252,0.030201572748188594,0.0329669805230528,0.013093339962956918,-0.026298738595183942,0.025492322628607716
2016-01-12,163732,52324,56089,64517,53180,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,61.900001525878906,-0.06924119903256541,11337,-1.4482382194190064,-3765,0.9236460670750197,0.020289387155152636,0.07444679143645135,0.013093339962956918,0.015347284730599098,-0.029338005643208064,0.012744307806271518
2016-01-19,167196,54541,55883,65508,55992,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,62.849998474121094,-0.05691523720663174,9516,-1.1121833239684362,-1342,1.4798573278284024,0.03130041152263374,0.021942693617329565,0.015347284730599098,0.023468552266209475,-0.032188744515671816,0.02514738815716411
2016-01-26,169738,58388,53766,66184,61463,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,64.32499694824219,-0.02781345367566485,4721,-2.867891576353501,4622,3.5670709825593914,0.048156243389973916,0.05317688178754213,0.023468552266209475,-0.001943256990755482,-0.0341209468824029,0.020997050326849235
2016-02-02,183386,64504,53210,70697,71401,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,64.19999694824219,0.0038388971895346427,-704,-3.196102228139839,11294,3.930763883161107,0.10169742009036017,0.05667974922269229,-0.001943256990755482,0.010124634840760649,-0.03529098487110638,0.01241410514068559
2016-02-09,193559,69121,53169,73553,77250,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,64.8499984741211,0.019100119343456002,-3697,-1.6320766034484637,15952,2.5399976006892566,0.05772431582926069,0.038089786572900484,0.010124634840760649,0.08172711143351563,-0.03625060180939472,0.01168081657167705
2016-02-16,203189,76389,53988,74599,83484,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,70.1500015258789,0.043727760853195796,-8885,-2.680319695803347,22401,3.331800639598262,0.046051757620996565,0.06202781165389601,0.08172711143351563,-0.0028510986926056914,-0.03632788906504962,0.027949994617323497
2016-02-23,194332,71410,46892,78466,88578,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,69.94999694824219,0.052034662330444806,-10112,-0.603871272559046,24518,1.0418871100305627,0.05364454874164891,0.10206928031647816,-0.0028510986926056914,0.00643323226975534,-0.035883363295578466,0.02153088559290115
2016-03-01,196308,73504,46559,81194,92661,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,70.4000015258789,0.05841330969700675,-11467,-0.6972603585616368,26945,1.2488936459255295,0.03917632509850162,0.02021438744659054,0.00643323226975534,-0.008877840716668861,-0.03469084949599086,0.0235783041381314
2016-03-08,199069,78521,49793,79363,91580,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,69.7750015258789,0.06137068051781041,-12217,-0.38205269270737824,28728,0.9082666014630071,0.017034918072105908,0.06430319372788627,-0.008877840716668861,0.013615147652699777,-0.03366803690235544,0.018927588751301294
2016-03-15,220979,91495,48312,81620,108824,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,70.7249984741211,0.12310672054810638,-27204,-7.528545378738026,43183,7.261301357820655,0.10239755518682657,0.10339253399329075,0.013615147652699777,-0.008130038326583877,-0.031074117782107002,0.0020777002135803887
2016-03-22,230984,96478,47345,83395,116536,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,70.1500015258789,0.14347747030097321,-33141,-2.6866806348114527,49133,2.692563546762362,0.0474513707228994,0.04137029543258033,-0.008130038326583877,0.001425494967155494,-0.027162277627336934,0.0007598364709399966
2016-03-29,234354,96474,45869,86061,120195,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,70.25,0.14565145036995314,-34134,-0.42989990648702947,50605,0.6372735773906418,0.030665774571406408,0.010397420315716263,0.001425494967155494,-0.040925266903914626,-0.022778960354840175,-0.0004919300836145743
2016-04-05,226021,89404,45287,87600,114444,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,67.375,0.11876772512288682,-26844,3.1106787168130263,44117,-2.768461387473651,0.03608124962879373,0.05681151673088774,-0.040925266903914626,-0.011502805578907704,-0.018472827063351616,-0.00854002810694289
2016-04-12,230526,89223,46901,89822,115852,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,66.5999984741211,0.11291567979316866,-26030,0.3601435264864769,42322,-0.7941739926820959,0.01764928965255696,0.013186506420616497,-0.011502805578907704,0.14414412453554903,-0.014517651273815284,-0.014893513775733093
2016-04-19,219320,80351,44895,90349,109313,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,76.19999694824219,0.0864672624475652,-18964,3.0651640162064147,35456,-2.9784059064921093,0.03538980877683285,0.08685307315203679,0.14414412453554903,-0.01870072807655343,-0.011095330406496353,0.023018418499439305
2016-04-26,224126,77672,46874,95101,109931,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,74.7750015258789,0.06616813756547656,-14830,1.88491701623199,30798,-2.1238373153383185,0.02619103359475594,0.03739983620509691,-0.01870072807655343,0.04948173684706192,-0.008575155185707183,0.018089229870801027
2016-05-03,228102,83584,43578,90818,117070,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,78.4749984741211,0.11508886375393464,-26252,-5.0962405075716335,40006,4.108403308853056,0.054943046255676135,0.07241156949403124,0.04948173684706192,-0.022618688249662733,-0.005565586109933205,0.04004304987614791
2016-05-10,230224,87110,43017,87946,116244,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,76.69999694824219,0.12291507401487248,-28298,-0.8969671462766657,44093,1.791742290729586,0.018110583280278172,0.03140777855479647,-0.022618688249662733,0.0788787912969593,-0.002843656477514872,0.03736958863293468
